video,yt_id,duration,title,singer,audio,lyric,year,submatch,match,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variation,repeat_area_size,repetition_ratio,key,scale,strength,tempo_variance
아예 (AH YEAH),B6QlcMCD2Ko,2:57,AH YEAH,WINNER,Q1,Q2,2019,0,1,0.1422198897927053,317.74245078103604,445.11255373284587,65.40639132514966,379.7061624076962,0.007419598288834,40478732,0.7046051076418977,G,major,0.96941077709198,2.483077874489818
You don’t know love (촌스럽게 왜 이래 (YOU DON’T KNOW LOVE)),-6D1nhqoAyY,3:27,촌스럽게 왜 이래,케이윌,Q1,Q2,2012,0,1,0.1335877862595419,763.2033727900372,502.5162292967395,65.40639132514966,437.10983797158985,0.0141630619764328,40455066,0.5147145524090014,C,major,0.902495503425598,4.124107537500533
Please don’t… (이러지마 제발 (PLEASE DON’T…)),x8UCXVZ6IWY,3:56,이러지마 제발,케이윌,Q4,Q3,2012,0,1,0.1522962962962963,465.7134924554185,535.48154601506,65.40639132514966,470.0751546899103,0.0134833892807364,63550332,0.6251458657868908,F#,minor,0.953488826751709,4.535562537489634
Love Equation (이별공식),xvubar0cgH0,3:30,이별공식,빅스,Q1,Q3,2013,0,1,0.1164391164391164,175.14016009520506,361.54373841774776,65.40639132514966,296.13734709259813,0.0113535812124609,64854960,0.8066725737698202,Bb,major,0.9598212242126464,1.1654944404579286
손대지마 (손대지마),O8GCcI9CvBo,3:25,손대지마,에일리,Q1,Q2,2014,0,1,0.141785957736878,946.2291622491244,132.33275396903284,65.40639132514966,66.92636264388318,0.0112862950190901,69313818,0.9033606920161964,G,minor,0.8968798518180847,3.831836405123678
U & I (U & I),gx3yY8YpGYQ,3:15,U & I,에일리,Q1,Q2,2013,0,1,0.2107334525939177,825.9306521534287,385.26118901858945,65.40639132514966,319.85479769343976,0.0105290189385414,54825036,0.7877465257060381,D,minor,0.8974185585975647,3.659929179472747
보여줄게 (보여줄게),AeVsG5rfTjo,3:54,보여줄게,에일리,Q1,Q2,2012,0,1,0.2017874875868917,1011.6884185675444,178.6955271983718,65.40639132514966,113.28913587322214,0.0240878369659185,48022588,0.4775954941601831,G,minor,0.8791486024856567,4.488419427628076
Shock (SHOCK),YHAXAcWxi0I,3:46,Shock,비스트,Q1,Q2,2010,0,1,0.1281259648039518,445.15469321364446,95.76056196257365,65.40639132514966,30.35417063742399,0.0099010113626718,65310750,0.6977946161131972,C,minor,0.9090240597724916,1.9427248405398672
YeY (예이 (YEY)),MgYcgQdz4mI,3:36,YeY,비스트,Q1,Q3,2015,0,1,0.1387544369151339,740.5423254350601,514.2619893669481,65.40639132514966,448.8555980417984,0.015228297561407,61704128,0.7204573909487882,D,minor,0.9392986297607422,2.8197714725961474
Palette (feat. G-DRAGON) (팔레트 (feat. G-DRAGON)),2C1Jg04INb4,3:38,Palette,IU,Q3,Q4,2017,1,1,0.0995301153353267,156.1781111566177,293.6647679174075,65.40639132514966,228.25837659225783,0.019173365086317,47080730,0.5418406474126555,C,major,0.956125259399414,4.055768382444846
Dear Name (이름에게),JSOBF_WhqEM,4:50,이름에게,IU,Q3,Q4,2017,1,1,0.2126363053239256,1353.3473912159775,622.2539674441617,65.40639132514966,556.847576119012,0.0111951418220996,27322844,0.1768555062910186,D,major,0.9148218631744384,0.4146677042813138
Meaning of you (너의 의미 (feat. 김창완)),LajvR3lH1cg,3:16,너의 의미,IU,Q3,Q4,2014,1,1,0.1444853377656417,492.3268720482602,238.52991146631203,65.40639132514966,173.12352014116237,0.0107694305479526,18272254,0.2601670331147364,Eb,major,0.9243531227111816,4.948129976531906
너라서 (Because it's you),E3dy6DipQ8w,4:17,너라서,다비치,Q3,Q4,2012,1,1,0.1909329472445932,1356.843681511803,644.1977062160751,65.40639132514966,578.7913148909254,0.0098251337185502,22542216,0.1860117224385122,Bb,major,0.9362224340438844,0.8079046304231458
Dear.,Wzwr5AKu0pY,3:54,나의 오랜 연인에게,다비치,Q3,Q4,2019,1,1,0.1706372840976772,1011.4823295601432,180.77186920887385,65.40639132514966,115.3654778837242,0.0134149882942438,37695074,0.3745871252069144,Ab,major,0.9367282390594482,1.843911900565412
Falling in Love,dnwgg8R0Zho,3:47,Falling In Love,2NE1,Q3,Q1,2013,1,1,0.0829063332650133,58.42968339661161,86.30425076864258,65.40639132514966,20.89785944349292,0.0094745680689811,40395682,0.4279614335867404,B,major,0.9108644127845764,2.4190684204565094
I Don't Care,ORHR-ZA4RyM,3:59,I Don't Care,2NE1,Q3,Q1,2009,1,1,0.0587604755408302,76.36247994988902,155.56349186104043,65.40639132514966,90.15710053589078,0.0126784928143024,78647442,0.753052590537292,E,major,0.8040231466293335,2.968449729470747
Feel Special,2zZxNpzqcAc,3:27,Feel Special,TWICE,Q1,Q4,2019,2,0,0.1228956228956228,239.81915370187724,88.83315834800462,65.40639132514966,23.42676702285496,0.0140818571671843,56159222,0.7141980988129141,F,minor,0.871226966381073,1.7648985090252105
고쳐주세요,hCpwMZFe_FM,3:07,고쳐주세요,볼빨간 사춘기,Q3,Q4,2017,1,1,0.1554003492142679,635.439550236214,590.7319012233158,65.40639132514966,525.3255098981662,0.0085340598598122,35038622,0.5508472439261358,G,major,0.9431270956993104,3.5787094167219253
처음부터 너와 나,4_phMXGTgrM,3:25,처음부터 너와 나,볼빨간 사춘기,Q3,Q4,2016,1,1,0.1837106131270617,719.3630614479001,551.1723529946163,65.40639132514966,485.7659616694666,0.0132297463715076,36306704,0.4743726410851683,G,major,0.7902547717094421,3.869134111066133
