video,yt_id,duration,title,singer,audio,lyric,year,match,pn,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variation,repeat_area_size,repetition_ratio
K.will(케이윌) - Love Blossom (러브블러썸) [가사_Lyrics],WmCy7VJPPk4,3:37,Love Blossom,케이윌,Q1,Q1,2013,2,0,0.05959752321981424,38.02672315463582,140.20166900511882,65.40639132514966,74.79527767996916,0.0013263467699289322,692896,0.4438084867894315
케이윌(K.will) - 오늘부터 1일 (Day 1) [가사_Lyrics],3fUKF8wKP0I,3:27,오늘부터 1일,케이윌,Q1,Q1,2014,2,0,0.0913312693498452,78.96715858006881,333.4576446322876,65.40639132514966,268.0512533071379,0.006250340025871992,1274226,0.8161575660528423
케이윌(K.will) - 말해! 뭐해_ [태양의 후예 OST] [가사_Lyrics],aFgy_E_PV44,3:38,말해! 뭐해?,케이윌,Q1,Q1,2016,2,0,0.18653250773993807,1368.497479128526,180.77186920887385,65.40639132514966,115.3654778837242,0.0026148627512156963,539694,0.3456807045636509
HyunA (현아) - Bubble Pop! - Color Coded Lyrics (HAN_ROM_ENG),HB_TYdo9jw4,3:34,Bubble Pop!,현아,Q1,Q1,2011,2,0,0.05030959752321981,21.239200030672198,88.32151700497141,85.3129619008554,3.008555104116013,0.012067601084709167,1283236,0.821928582866293
HyunA (현아) – Babe (베베) Lyrics (Han_Rom_Eng),RURqTdDwPBg,3:14,베베,현아,Q1,Q1,2017,2,0,0.037925696594427245,23.240110611622843,237.15608026942812,65.40639132514966,171.74968894427846,0.008176090195775032,629530,0.40322177742193754
비스트(Beast) - 아름다운 밤이야 [가사_Lyrics],sjJFYzjh7m0,3:39,아름다운 밤이야,비스트,Q1,Q1,2012,2,0,0.2306501547987616,568.865222037976,357.39105439674364,65.40639132514966,291.984663071594,0.005419078748673201,1112204,0.7123804643714972
I Like You The Best (니가 제일 좋아),hAiWQ854j4k,3:24,니가 제일 좋아,비스트,Q1,Q1,2010,2,0,0.08746130030959752,115.89070332793372,156.46466200170096,65.40639132514966,91.0582706765513,0.012560248374938965,1156128,0.7405143314651721
Through the Night (밤편지),6744glqD6lk,4:14,밤편지,IU,Q3,Q3,2017,3,0,0.08668730650154799,233.98830802078047,394.2662424412591,65.40639132514966,328.85985111610944,0.008316529914736748,230578,0.1476880704563651
아이유(IU) - 나만 몰랐던 이야기 [가사_Lyrics],BR58ZxI-NKk,3:24,나만 몰랐던 이야기,IU,Q3,Q3,2011,3,0,0.19427244582043343,1199.7457148779342,293.6647679174075,65.40639132514966,228.25837659225786,0.0008887582807801664,138446,0.0886763811048839
Love poem (Love poem),iOKRYIMhaDk,4:19,Love Poem,IU,Q3,Q3,2019,3,0,0.07894736842105263,106.31181826241983,180.77186920887385,76.88834637984607,103.88352282902778,0.0037577927578240633,312140,0.19992954363490792
Do Men Cry (남자도 우나요),ADQhv2u6vyo,3:54,남자도 우나요,다비치,Q3,Q3,2012,3,0,0.21284829721362228,868.8829442197281,372.1377785978373,65.40639132514966,306.7313872726877,0.0034206050913780928,326968,0.20942706164931946
"다비치(Davichi) - 괜찮아 사랑이야(It's alright This is Love) _ 다비치 괜찮아 사랑이야 듣기, 가사",eJoLpIXTRd0,4:06,괜찮아 사랑이야,다비치,Q3,Q3,2014,3,0,0.013157894736842105,1.2243689434385454,234.43211035826653,65.40639132514966,169.02571903311687,0.001241446239873767,374286,0.23973482786228983
2NE1 - LONELY M_V,5n4V3lGEyG4,3:31,Lonely,2NE1,Q3,Q3,2011,3,0,0.24380804953560373,546.7423846677337,208.85526660911424,65.40639132514966,143.44887528396458,0.002407039748504758,388580,0.24889031224979985
2NE1 - It Hurts (아파 ) [Han_Rom_Eng Color Coded Lyrics],49ULVOpHkN8,4:17,아파,2NE1,Q3,Q3,2010,3,0,0.1021671826625387,84.02675909862072,482.60299106563536,65.40639132514966,417.1965997404857,0.0024458887055516243,1112696,0.7126955964771817
2NE1 - 그리워해요 [가사_Lyrics],MfnGthGj72g,3:40,그리워해요,2NE1,Q3,Q3,2013,3,0,0.19195046439628483,222.20997757095344,141.8307339283537,65.40639132514966,76.42434260320405,0.007143036928027868,478654,0.3065838270616493
[Lyrics Video] BOL4(볼빨간사춘기) - Hard To Love(나만 안되는 연애),huqO1Efm7kI,3:40,나만 안 되는 연애,볼빨간 사춘기,Q3,Q3,2016,3,0,0.09829721362229102,93.63279325499143,488.2105677098518,65.40639132514966,422.80417638470215,0.007216478697955608,339030,0.21715292233787029
볼빨간사춘기(BOL4) - 나의 사춘기에게 [가사_Lyrics],3gMAEZCOFtE,3:44,나의 사춘기에게,볼빨간 사춘기,Q3,Q3,2018,3,0,0.18962848297213622,1522.2118412665702,417.7105332182284,66.54967490706109,351.1608583111673,0.0005435261991806328,373314,0.23911224979983986
[Lyrics Video] BOL4(볼빨간사춘기) - Blue,t1yHpqup87M,3:07,Blue,볼빨간 사춘기,Q3,Q3,2017,3,0,0.08823529411764706,58.07660382060596,439.99999999999994,65.40639132514966,374.5936086748503,0.011123866774141788,503596,0.3225594875900721
SISTAR (씨스타) – Alone (나혼자) [Han_Rom_Eng] Color Coded Lyrics,VLlUcHvKcck,3:25,나 혼자,씨스타,Q2,Q3,2012,3,0,0.04102167182662539,11.094151074964772,194.86885420251932,65.40639132514966,129.46246287736966,0.01135077141225338,707520,0.4531753402722178
Sistar (씨스타) - Give It To Me (Full Audio) [Give It To Me],VufRgvGYI1s,3:25,Give It To Me,씨스타,Q2,Q3,2013,3,0,0.13777089783281735,552.3382059398633,219.99999999999997,65.40639132514966,154.59360867485032,0.00872746016830206,759608,0.48653835068054446
SISTAR - LONELY Color Coded Lyrics [Han_Rom_Eng],_nCEtTSOSj4,3:27,Lonely,씨스타,Q2,Q2,2017,3,0,0.21439628482972137,501.2372135264405,425.01198472693204,71.73936383710603,353.27262088982604,0.004287955351173878,319048,0.20435420336269014
BIGBANG(빅뱅) - LOSER [가사_Lyrics],3-gjXQ-P4j0,3:40,Loser,빅뱅,Q3,Q3,2015,3,0,0.17724458204334365,361.0355575870563,210.06515286029162,65.40639132514966,144.65876153514196,0.014511111192405224,766144,0.49072473979183345
IF YOU,h9hdorPqukU,4:25,If You,빅뱅,Q3,Q3,2015,3,0,0.08978328173374613,46.27142261499679,227.75828324510303,68.10519982075922,159.6530834243438,0.003842181758955121,268172,0.17176749399519617
BIGBANG(빅뱅) - LAST DANCE [가사_Lyrics],w2Qex0zIKJs,4:40,Last Dance,빅뱅,Q3,Q3,2016,3,0,0.2089783281733746,625.3365956493401,335.38934511626763,65.40639132514966,269.982953791118,0.0020630364306271076,274788,0.17600512409927943
1.그댈 마주하는건 힘들어 (그마힘) - It's Hard To Face You,LE-Bl8cJ1rY,3:08,그댈 마주하는 건 힘들어,버스커버스커,Q3,Q3,2012,3,0,0.06656346749226007,43.60189161211168,297.0769881570017,65.40639132514966,231.67059683185207,0.0028920595068484545,344424,0.22060784627702162
6.외로움증폭장치 - Loneliness Amplifier,gwhFvXF-6t8,3:06,외로움증폭장치,버스커버스커,Q3,Q3,2012,3,0,0.04953560371517028,8.241995873630534,231.73942791006385,80.5247132770094,151.21471463305446,0.0028183271642774343,386372,0.24747606084867893
"4.처음엔 사랑이란게 - Love, At First",h_lGsTnWohA,4:05,처음엔 사랑이란 게,버스커버스커,Q3,Q3,2013,3,0,0.04024767801857585,12.212449918047714,135.4258854679408,65.40639132514966,70.01949414279113,0.005067281890660524,717028,0.4592653322658127
FAKE LOVE,0tWU94w_3ig,4:03,Fake Love,BTS,Q2,Q3,2018,3,0,0.17647058823529413,403.92273181473985,87.30705785825097,65.40639132514966,21.900666533101315,0.009254099801182747,666952,0.42719103282626103
BTS - Danger (방탄소년단 - Danger) [Color Coded Lyrics_Han_Rom_Eng_가사],abm8QCh7pBg,4:05,Danger,BTS,Q2,Q2,2014,3,0,0.11609907120743033,113.70701039500042,66.16637698451642,65.40639132514966,0.7599856593667624,0.03603394702076912,1204286,0.771360128102482
The Truth Untold (Feat. Steve Aoki),ITc-om9SVr4,4:03,전하지 못한 진심,BTS,Q3,Q3,2018,3,0,0.21671826625386997,994.0231257608144,248.37216905734888,65.40639132514966,182.96577773219923,0.002555340062826872,332802,0.21316381104883908
케이윌(K.will) - 그립고 그립고 그립다 [가사_Lyrics],UczuiyzK5cQ,4:18,그립고 그립고 그립다,케이윌,Q3,Q3,2009,3,0,0.33126934984520123,1902.734661503513,131.5705733911144,71.73936383710603,59.83120955400838,0.0009601140045560896,354562,0.2271013610888711
I hate myself (내가 싫다),-AAkBfgBxmA,3:54,내가 싫다,케이윌,Q3,Q3,2011,3,0,0.1780185758513932,440.7916608756913,331.5370699244067,65.40639132514966,266.13067859925707,0.004575744271278381,223690,0.14327622097678142
Dropping the Tears (눈물이 뚝뚝),MKkrSBjNIvw,4:19,눈물이 뚝뚝,케이윌,Q3,Q3,2009,3,0,0.16873065015479877,327.8875785975137,295.3659506116579,65.40639132514966,229.95955928650827,0.0012625714298337698,280888,0.17991224979983989
에일리(Ailee) - 저녁 하늘 [가사_Lyrics],8JINsWbZVEA,3:55,저녁 하늘,에일리,Q3,Q3,2012,3,0,0.05030959752321981,19.24209711585465,212.505992363466,65.40639132514966,147.09960103831634,0.001097293570637703,403426,0.2583993594875901
[Audio] 헤이즈 (Heize) - 비도 오고 그래서 (Feat. 신용재),N8frr93imY8,3:26,비도 오고 그래서,헤이즈,Q3,Q3,2017,3,0,0.13390092879256965,1391.5622807416921,625.8586480068038,65.7852866955572,560.0733613112466,0.003313977736979723,365136,0.23387413931144915
불티 Spark,8a_kJWcAOvU,3:38,불티,태연,Q2,Q2,2019,3,0,0.1021671826625387,41.982365881011035,249.81097439559304,65.40639132514966,184.40458307044338,0.007337651215493679,706274,0.45237726180944754
비스트(Beast) - 비가 오는 날엔 [가사_Lyrics],B-AqBu0D0q8,3:46,비가 오는 날엔,비스트,Q3,Q3,2011,3,0,0.16253869969040247,444.2291333186362,161.0494265540188,65.40639132514966,95.64303522886914,0.0046545579098165035,734262,0.4703039231385108
[MP3_DL] BEAST (B2ST) (비스트) - No More (이젠 아니야),na6BLM8sCTc,4:00,이젠 아니야,비스트,Q3,Q3,2013,3,0,0.030959752321981424,7.878070814442771,234.43211035826653,65.40639132514966,169.02571903311687,0.020344041287899017,1444542,0.9252470776621297
